id	filename	mine_name	site_location	country	gps_coordinates	caption
29	KorshunovskoyeIronDeposit_rgb_2024-04-17.png	KorshunovskoyeIronDeposit	Zheleznogorsk-Ilimsky, Nizhneilimsky District, Irkutsk Oblast	Russia	56.547678,104.126949	The April 17, 2024 Sentinel-2 image of the Korshunovskoye Iron Deposit in Russia reveals significant environmental hazards associated with iron mining. The image shows extensive land disturbance, with large areas of exposed soil and bare rock, indicating potential soil erosion and land degradation. A notable feature is the presence of a large, dark-colored pit, likely containing mining waste or tailings, which may be a source of chemical contamination. The surrounding terrain appears heavily disturbed, with visible excavation and removal of soil and rock, suggesting habitat destruction and loss of vegetation. Although no water bodies are clearly visible, the risk of groundwater contamination from mining activities is a concern. Overall, the image highlights the environmental impact of iron mining at the Korshunovskoye deposit.
30	KoktokayAltayMIne_rgb_2024-06-21.png	KoktokayAltayMIne	Aletai Prefecture, Xinjiang	China	47.20668,89.81641	The June 21, 2024 Sentinel-2 image of the Koktokay Mine in Xinjiang, China, reveals significant environmental hazards associated with rare-metal extraction. The mine's extensive open-pit operation has led to substantial land degradation, with large areas of exposed soil and bare rock indicating potential soil erosion. A bright white area near the center of the image suggests a tailings pond or processing site, which may contain chemically altered water, posing a risk of contamination to nearby water bodies and groundwater. The surrounding landscape shows stressed vegetation and habitat disruption, likely due to mining activities. The image highlights the environmental impact of mining on local ecosystems and water resources.
31	KoashvaQuarry_rgb_2024-06-04.png	KoashvaQuarry	Koashva Mountain, Murmansk Oblast	Russia	67.652914,34.013024	"The provided image is not an RGB image from Sentinel-2, but rather appears to be a processed or enhanced image, likely highlighting topographic features. The image shows a high-contrast, black-and-white representation of the terrain around the KoashvaQuarry. 

Given the image's characteristics, it is challenging to directly assess environmental hazards. However, based on the context of the mine and typical environmental concerns associated with such operations, potential hazards can be inferred. The extensive excavation and land disturbance visible in the image suggest significant land degradation and potential soil erosion. Although no water bodies or tailings ponds are clearly visible, the altered terrain indicates a high risk of environmental impact. The surrounding landscape shows signs of disturbance, with potential implications for local ecosystems and habitat quality."
32	ImourarenUraniumMine_rgb_2024-04-04.png	ImourarenUraniumMine	Arlit, Agadez	Niger	18.076698,7.345089	The April 4, 2024 Sentinel-2 image of the Imouraren Uranium Mine in Niger reveals significant environmental degradation. The mine's extensive excavation has led to substantial land disturbance, with large areas of bare soil and rock exposed, indicating potential soil erosion. Several dark-colored water bodies, likely tailings ponds or mining pits, are visible, suggesting possible chemical contamination and risk of leakage into nearby water sources. The surrounding terrain shows signs of disruption, with sparse vegetation and altered landforms. The image highlights the environmental impact of uranium mining, including habitat destruction and potential water pollution.
33	KhanongOpenPit_rgb_2023-01-15.png	KhanongOpenPit	Sepon Mine, Vilabouly District, Savannakhet Province	Laos	16.965556,106.009722	The January 15, 2023 Sentinel-2 image of the Khanong Open Pit mine in Laos reveals extensive environmental disturbances. The mine's large open pits and surrounding areas display significant land degradation, with widespread bare soil and disturbed terrain. The presence of blue and white hues within the mine suggests water accumulation or tailings ponds, potentially indicating chemical contamination risks. Surrounding forests show signs of fragmentation and stress, likely due to mining activities. Although no direct evidence of water pollution is visible, the mine's proximity to forested areas and water bodies poses potential environmental hazards, including soil erosion, habitat loss, and water contamination.
34	HarenaMine_rgb_2024-09-22.png	HarenaMine	Harena Mine, Gash Barka Region	Eritrea	15.44176,37.46133	The September 22, 2024 Sentinel-2 image of the Harena Mine in Eritrea's Gash-Barka region reveals significant environmental hazards associated with copper and zinc mining. The mine's open-pit operations and multiple tailings ponds with bright blue, unnaturally colored water suggest potential chemical contamination and risk of leakage into nearby water bodies and groundwater. The surrounding landscape shows signs of land degradation, with sparse vegetation and exposed soil indicating soil erosion. The image highlights the environmental impact of mining activities on the local ecosystem, including potential water pollution and habitat destruction. The presence of these hazards underscores the need for careful environmental management and monitoring in the region.
35	HoucaoBauxiteDeposit_rgb_2024-10-29.png	HoucaoBauxiteDeposit	Bozhou District, Zunyi, Guizhou	China	27.462599,107.038012	The October 29, 2024 Sentinel-2 image of the Houcao Bauxite Deposit in Guizhou, China, reveals significant environmental impacts from mining activities. The image shows extensive land degradation with large areas of exposed soil and disturbed terrain, indicating potential soil erosion. Vegetation around the mining site appears sparse and stressed, reflecting habitat loss and ecosystem disruption. Although no direct evidence of water pollution is visible, the extensive excavation and land alteration suggest risks to nearby water sources and groundwater. The overall landscape disturbance highlights the environmental hazards associated with bauxite mining in the region.
36	GupoDeposit_rgb_2024-08-08.png	GupoDeposit	Gupo deposit, Ad Nefas, Asmara, Central Region	Eritrea	15.38958,38.93755	The August 8, 2024 Sentinel-2 image of the Gupo mine in Eritrea reveals significant environmental hazards associated with mining activities. A large area of exposed, light-brown soil is visible, indicating substantial land disturbance and potential soil erosion. The surrounding landscape shows signs of deforestation and habitat disruption, with patches of bare ground and sparse vegetation. Although no tailings ponds or water bodies with abnormal colors are visible in the image, the extensive land alteration suggests increased risk of sedimentation and potential groundwater contamination. The environmental impact is evident in the stark contrast between the disturbed mining area and the surrounding, more vegetated terrain.
37	Hambok_rgb_2024-09-22.png	Hambok	Hambok Zn-Ag Project, Gash Barka Region	Eritrea	15.41252,37.39713	The September 22, 2024 Sentinel-2 image of the Hambok mine in Eritrea reveals significant environmental hazards associated with mining activities. The image shows extensive land disturbance, with large areas of bare soil and rock exposed. The terrain around the mine appears degraded, with sparse vegetation cover indicating potential soil erosion and habitat loss. A river running along the right edge of the image suggests a risk of water pollution from mining activities, although no direct evidence of contamination is visible. The overall landscape alteration and lack of vegetation in the mined area point to ongoing environmental degradation. The presence of mining infrastructure and disturbed terrain highlights the need for careful environmental monitoring to mitigate potential ecological impacts.
38	GirilamboneCopperMine_rgb_2024-09-21.png	GirilamboneCopperMine	Girilambone, Canbelego Co., New South Wales	Australia	-31.258742,146.869632	The September 21, 2024 Sentinel-2 image of the Girilambone Copper Mine in New South Wales, Australia, reveals several environmental hazards associated with mining activities. The mine's open pit and surrounding areas show significant land disturbance, with large expanses of bare soil and disturbed terrain indicating potential soil erosion. A large tailings pond with bright white residues suggests chemical contamination, posing a risk of leakage into nearby water bodies and groundwater. The surrounding landscape exhibits a mix of agricultural fields and natural vegetation, with some areas appearing stressed or cleared, likely due to mining-related activities. The image indicates substantial environmental risks, including land degradation and potential water pollution.
39	GlendellOpenCutMine_rgb_2024-12-29.png	GlendellOpenCutMine	Durham Co., New South Wales	Australia	-32.441267,151.07332	The December 29, 2024 Sentinel-2 image of the Glendell Open Cut Mine in New South Wales, Australia, reveals several environmental hazards associated with the coal mining operation. The extensive open-pit excavation and surrounding disturbed terrain indicate significant land degradation. Multiple tailings ponds are visible, with some containing water that appears abnormally colored, suggesting potential chemical contamination and risk of leakage into nearby water bodies and groundwater. The surrounding landscape shows sparse vegetation and stressed land cover, likely due to the mining activities. Although mining operations ceased in November 2022, the image highlights ongoing environmental risks.
40	FooteLithiumMine_rgb_2024-12-23.png	FooteLithiumMine	Kings Mountain, North Carolina	USA	35.223294,-81.346337	The December 23, 2024 Sentinel-2 image of the Foote Lithium Mine in Kings Mountain, North Carolina, reveals significant environmental hazards associated with mining activities. A large open-pit excavation is visible, indicating extensive land disturbance and potential soil erosion. The surrounding area shows substantial deforestation and habitat disruption, with sparse vegetation in the vicinity of the mine. Although a tailings pond is not directly visible in the image, the extensive mining infrastructure and disturbed terrain suggest potential risks to local water sources and ecosystems. The image highlights the environmental impact of lithium extraction, including land degradation and potential groundwater contamination.
41	GibsonsOpenCutMine_rgb_2024-09-05.png	GibsonsOpenCutMine	Clarke Co., New South Wales	Australia	-30.748674,152.035169	The September 5, 2024 Sentinel-2 image of Gibsons Open Cut Mine in Clarke County, New South Wales, Australia, reveals significant environmental hazards associated with gold mining. The image shows a small, white patch indicative of the mine site, surrounded by extensive, densely forested terrain. The rugged landscape with numerous valleys and ridges suggests potential for soil erosion and sediment transport into nearby watercourses. Although the mine site appears relatively contained, the surrounding vegetation shows no visible signs of stress or damage, suggesting minimal immediate environmental impact from the mine. The image does not directly show water bodies or tailings ponds, but the topography indicates potential risks of sedimentation and water pollution in the surrounding hydrological network.
42	EmbaDerhoMine_rgb_2024-08-08.png	EmbaDerhoMine	Emba Derho Mine, Emba Derho, Central Region	Eritrea	15.41579,38.88897	The August 8, 2024 Sentinel-2 image of the Emba Derho Mine in Eritrea reveals significant environmental hazards associated with mining activities. Extensive land disturbance is evident, with large areas of bare soil and exposed terrain indicating potential soil erosion. The mine's infrastructure and excavation have led to deforestation and habitat destruction, as surrounding vegetation appears cleared or stressed. Although no direct evidence of water pollution is visible, the extensive land alteration and mining operations suggest a risk of chemical contamination and groundwater impact. The image highlights the environmental consequences of large-scale mining in the region.
43	FilónSurOpenPit_rgb_2024-07-27.png	FilónSurOpenPit	Tharsis Mines, Tharsis, Alosno, Huelva, Andalusia	Spain	37.58513,-7.11539	The July 27, 2024 Sentinel-2 image of the Filón Sur open pit at Tharsis Mines in Spain reveals significant environmental hazards. The extensive open-pit excavation has caused substantial land degradation, with large areas of exposed soil and bare rock indicating potential soil erosion. Several water bodies within and around the mine display abnormal colors, suggesting chemical contamination and risk of leakage into nearby water sources. The surrounding landscape shows stressed vegetation and habitat destruction, likely due to mining activities. The image highlights the environmental impact of long-term mining operations in the region.
44	DuralieCoalMine_rgb_2024-12-29.png	DuralieCoalMine	Gloucester Co., New South Wales	Australia	-32.27888,151.93624	The December 29, 2024 Sentinel-2 image of the Duralie Coal Mine in Gloucester County, New South Wales, Australia, reveals significant environmental impacts associated with open-cut coal mining. The mine's extensive excavation has resulted in large areas of bare soil and disturbed terrain, indicating land degradation and potential soil erosion. A water body within the mine appears blue, suggesting it may be a pit lake or water accumulation. The surrounding landscape shows a mix of vegetation and disturbed land, with some areas appearing stressed or cleared. Although no direct evidence of water or air pollution is visible, the extensive land alteration and potential for sedimentation pose environmental risks to nearby water sources and ecosystems.
45	ElliotsNo1OpenCut_rgb_2024-08-21.png	ElliotsNo1OpenCut	Elliots No 1 Open cut, Captain's Flat, Lake George, Murray Co., New South Wales	Australia	-35.589458,149.443665	The August 21, 2024 Sentinel-2 image of Elliots No 1 Open Cut mine in Captain's Flat, New South Wales, Australia, reveals significant environmental hazards. Extensive land degradation is evident, with large areas of exposed soil and bare rock indicating heavy mining activity. The image shows potential soil erosion and water pollution risks due to the removal of vegetation and alteration of the terrain. Although no visible water bodies or tailings ponds are present in the image, the disturbed land suggests ongoing environmental risks. The surrounding vegetation appears sparse, reflecting the environmental impact of mining activities. Overall, the image indicates substantial environmental degradation associated with the mine.
